X,Y,Z,Time hour:minute:second:microsecond
0.009940282441675663,0.08546298742294312,0.9916024804115295,18:35:32:030992
0.009697836823761463,0.0866769552230835,0.9920898675918579,18:35:32:043501
0.010182728059589863,0.08619136363267899,0.9920898675918579,18:35:32:076090
0.011879850178956985,0.08716253191232681,0.9894092082977295,18:35:32:092437
0.009455390274524689,0.0883764997124672,0.987459659576416,18:35:32:108782
0.01284963358193636,0.08983325213193893,0.9877033233642578,18:35:32:121469
0.011394958011806011,0.08716253191232681,0.987459659576416,18:35:32:134184
0.01284963358193636,0.08861929178237915,0.987459659576416,18:35:32:147299
0.013819416984915733,0.08910487592220306,0.9859974384307861,18:35:32:192992
0.011879850178956985,0.0866769552230835,0.9894092082977295,18:35:32:222946
0.011394958011806011,0.08570577949285507,0.9881907105445862,18:35:32:238804
0.00872805342078209,0.08546298742294312,0.9928209781646729,18:35:32:254638
0.009212944656610489,0.08594857156276703,0.9918461441993713,18:35:32:266904
0.008000715635716915,0.08473461121320724,0.9896529316902161,18:35:32:282669
0.009455390274524689,0.08716253191232681,0.9916024804115295,18:35:32:299873
0.008970499038696289,0.08594857156276703,0.9935520887374878,18:35:32:333268
0.009697836823761463,0.0866769552230835,0.9918461441993713,18:35:32:349152
0.011394958011806011,0.08886208385229111,0.9881907105445862,18:35:32:361485
0.010667620226740837,0.0883764997124672,0.9867285490036011,18:35:32:377340
0.011394958011806011,0.08813370019197464,0.9852663278579712,18:35:32:393108
0.011152512393891811,0.08886208385229111,0.9894092082977295,18:35:32:432166
0.01260718796402216,0.08813370019197464,0.9872159361839294,18:35:32:462071
0.010182728059589863,0.08886208385229111,0.9901403188705444,18:35:32:495250
0.009940282441675663,0.08691974729299545,0.990384042263031,18:35:32:507523
0.009697836823761463,0.08716253191232681,0.9935520887374878,18:35:32:523302
0.011152512393891811,0.0866769552230835,0.9930647015571594,18:35:32:539084
0.009455390274524689,0.08546298742294312,0.9916024804115295,18:35:32:551313
0.010425174608826637,0.08594857156276703,0.9898965954780579,18:35:32:570521
0.011879850178956985,0.08643415570259094,0.9911150336265564,18:35:32:612824
0.01284963358193636,0.0883764997124672,0.9881907105445862,18:35:32:625090
0.012122295796871185,0.08740532398223877,0.9862411618232727,18:35:32:637336
0.012122295796871185,0.08764811605215073,0.9859974384307861,18:35:32:653114
0.01260718796402216,0.0866769552230835,0.987459659576416,18:35:32:670826
0.011394958011806011,0.08619136363267899,0.9891654849052429,18:35:32:704133
0.010182728059589863,0.0866769552230835,0.9896529316902161,18:35:32:719939
0.01260718796402216,0.08716253191232681,0.991358757019043,18:35:32:732175
0.009697836823761463,0.08691974729299545,0.9911150336265564,18:35:32:747971
0.011879850178956985,0.08740532398223877,0.9901403188705444,18:35:32:763750
0.011637403629720211,0.08619136363267899,0.9896529316902161,18:35:32:803674
0.009940282441675663,0.08619136363267899,0.991358757019043,18:35:32:815947
0.010425174608826637,0.08570577949285507,0.991358757019043,18:35:32:831731
0.010425174608826637,0.08813370019197464,0.9891654849052429,18:35:32:843960
0.011879850178956985,0.08740532398223877,0.9901403188705444,18:35:32:859737
0.011394958011806011,0.08764811605215073,0.9864848256111145,18:35:32:877682
0.012364741414785385,0.08910487592220306,0.9862411618232727,18:35:32:922769
0.011152512393891811,0.0883764997124672,0.9877033233642578,18:35:32:935031
0.012364741414785385,0.08740532398223877,0.9886780977249146,18:35:32:947265
0.011879850178956985,0.08546298742294312,0.994283139705658,18:35:32:963036
0.011637403629720211,0.08619136363267899,0.9862411618232727,18:35:32:981081
